SA,DATE,Burn_date,PLOT,PLOT,PLOT,#VP,LAI,SEL,CONF,NOTES,Burn,Fuels,Planting
M,20030912,,2,B,7,1,0.52,0,5,,,,
M,19970821,,2,B,7,,1.79,0.44,,,,,
M,19991001,,2,B,7,,1.81,0.47,,,,,
M,20030912,,2,B,8,7,0.87,0.06,6,,,,
M,19970821,,2,B,8,,2.62,0.35,,,,,
M,19991001,,2,B,8,,0.69,0.17,,,,,
M,20030912,,2,B,9,7,0.95,0.08,3,,,,
M,19970821,,2,B,9,,2.36,0.31,,,,,
M,19991001,,2,B,9,,1.68,0.33,,,,,
M,20030912,,2,B,10,4,0.65,0.08,3,,,,
M,19970821,,2,B,10,,2.28,0.46,,,,,
M,19991001,,2,B,10,,0.84,0.41,,,,,
R,19980731,,1,A,1,,1.2,0.21,,,,,
R,19980731,,1,A,2,,1.67,0.34,,,,,
R,19980731,,1,A,3,,1.71,0.3,,,,,
R,19980731,,1,A,4,,0.9,0.18,,,,,
R,19980731,,1,A,5,,2.07,0.27,,,,,
R,19980731,,1,A,6,,0.67,0.21,,,,,
R,19980731,,1,A,7,,0.85,0.16,,,,,
R,19980731,,1,A,8,,0.94,0.11,,,,,
R,19980731,,1,A,9,,1.24,0.19,,,,,
R,19980731,,1,A,10,,2.05,0.23,,,,,
R,20030929,,2,A,1,8,0,0,7,,,,
R,20030929,,2,A,2,5,0.52,0.06,6,,,,
R,20030929,,2,A,3,6,0.3,0.07,6,,,,
R,20030929,,2,A,4,3,0.94,0.05,4,,,,
R,20030929,,2,A,5,3,0.16,0.07,4,,,,
R,20030929,,2,A,6,7,0.41,0.02,7,,,,
R,20030929,,2,A,7,8,1.09,0.05,6,,,,
R,20030929,,2,A,8,7,0.85,0.05,6,,,,
R,20030929,,2,A,9,6,0.44,0.04,6,,,,
R,20030929,,2,A,10,8,0.22,0.04,6,,,,
R,19980723,,3,A,1,,0.06,0.03,,,,,
R,20030929,,3,A,1,,0.38,0.02,,,,,
R,19980723,,3,A,2,,0.05,0.02,,,,,
R,20030929,,3,A,2,,0.37,0,6,,,,
R,19980723,,3,A,3,,0,0,,,,,
R,20030929,,3,A,3,,0.61,0.02,2,,,,
R,19980723,,3,A,4,,0.29,0.05,,,,,
R,20030929,,3,A,4,,0.41,0.04,6,,,,
R,19980723,,3,A,5,,0.05,0.03,,,,,
R,20030929,,3,A,5,,0.3,0.03,5,,,,
R,19980723,,3,A,6,,0.18,0.04,,,,,
R,20030929,,3,A,6,,0.15,0,6,,,,
R,19980723,,3,A,7,,0.13,0.04,,,,,
R,20030929,,3,A,7,,0,0,6,,,,
R,19980723,,3,A,8,,0.04,0.02,,,,,
R,20030929,,3,A,8,,0.14,0.02,6,,,,
R,19980723,,3,A,9,,0.11,0.03,,,,,
R,20030929,,3,A,9,,0.1,0.02,6,,,,
R,19980723,,3,A,10,,0.08,0.04,,,,,
R,20030929,,3,A,10,,0,0,6,,,,
R,19980723,,3,B,1,,0.31,0.07,,,,,
R,19980723,,3,B,2,,0,0,,,,,
R,19980723,,3,B,3,,0.05,0,,,,,
R,19980723,,3,B,4,,0.24,0.13,,,,,
R,19980723,,3,B,5,,0.04,0.02,,,,,
R,19980723,,3,B,6,,0.22,0.05,,,,,
R,19980723,,3,B,7,,0.31,0.18,,,,,
R,19980723,,3,B,8,,0.15,0.03,,,,,
R,19980723,,3,B,9,,0.08,0.03,,,,,
R,19980723,,3,B,10,,0.02,0.02,,,,,
R,19980728,,4,B,1,,1.03,0.13,,,,,
R,19980728,,4,B,2,,1.29,0.27,,,,,
R,19980728,,4,B,3,,1,0.23,,,,,
R,19980728,,4,B,4,,1.25,0.23,,,,,
R,19980728,,4,B,5,,3.7,0.35,,,,,
R,19980728,,4,B,6,,1.3,0.25,,,,,
R,19980728,,4,B,7,,2.33,0.37,,,,,
R,19980728,,4,B,8,,0.83,0.21,,,,,
R,19980728,,4,B,9,,0.45,0.23,,,,,
R,19980728,,4,B,10,,0.86,0.15,,,,,
R,19980731,,5,A,1,,2.32,0.23,,,,,
R,19980731,,5,A,2,,1.4,0.28,,,,,
R,19980731,,5,A,3,,1.31,0.37,,,,,
R,19980731,,5,A,4,,3.9,0.35,,,,,
R,19980731,,5,A,5,,2.68,0.3,,,,,
R,19980731,,5,A,6,,4.58,0.27,,,,,
R,19980731,,5,A,7,,2.84,0.24,,,,,
R,19980731,,5,A,8,,2.09,0.41,,,,,
R,19980731,,5,A,9,,2.45,0.32,,,,,
R,19980731,,5,A,10,,1.98,0.24,,,,,
R,19970922,,5,B,1,,2.51,0.27,,,,,
R,20010907,,5,B,1,,1.37,0.22,,,,,
R,19970922,,5,B,2,,2.11,0.19,,,,,
